"index","sequence_label","source","generator","chisqr_p","chisqr_X2.X-squared","chisqr_df.df","ks_p","ks_D.D","freq_p","freq_X2.X-squared","freq_df.df","eqdist_empiricalMean","eqdist_diff","gap_p","gap_X2.X-squared","gap_df.df","serial_autocorrelation","perm_observed_stat","perm_p","entropy_val","fft_dominant_frequency","fft_dominant_period","fft_max_magnitude"
1,"randoms-1","QRNG","IBM Qiskit (Single-Qubit)",4.52309202120639e-06,41.24,9,4.01514172449902e-05,0.104,4.52309202120639e-06,41.24,9,0.4854,0.0146,5.97398345713606e-108,634.069387755102,40,0.0623389164301799,4.854,1,3.27121528191636,0.096,10.4166666666667,175.438883561187
2,"randoms-10","QRNG","IBM Qiskit (Single-Qubit)",1.04273609815309e-05,39.24,9,0.00019887127149966,0.096,1.04273609815309e-05,39.24,9,0.505,0.005,6.61227867075976e-138,789.232653061224,43,-0.0423221417763274,5.05,1,3.27246199628308,0.338,2.9585798816568,181.936265616827
3,"randoms-100","PRNG","Linear Congruential Generator (LCG)",0.989424581868437,2.12,9,9.07998595249615e-05,0.1,0.989424581868437,2.12,9,0.510222222222222,0.0102222222222222,3.37687149644362e-161,825.6,21,-0.0650122839465384,5.592,1,3.31886752770939,0.5,2,196
4,"randoms-101","PRNG","XORShift",0.33768835649024,10.16,9,4.20066493879215e-07,0.124,0.33768835649024,10.16,9,0.475777777777778,0.0242222222222223,4.40909336675622e-129,746.310204081633,43,0.0597024859365902,5.282,1,3.30720794157676,0.054,18.5185185185185,162.277093355671
5,"randoms-102","PRNG","XORShift",0.0401082797659396,17.6,9,1.24001921358892e-06,0.119555555555556,0.0401082797659396,17.6,9,0.527555555555556,0.0275555555555556,4.21125980846769e-112,657.371428571429,41,0.0137324333932998,5.748,1,3.29701646443168,0.338,2.9585798816568,187.311276870453
6,"randoms-103","PRNG","XORShift",0.137282353126584,13.6,9,4.01514172449904e-05,0.104,0.137282353126584,13.6,9,0.493555555555556,0.00644444444444447,2.1256918156575e-119,693.028571428571,41,0.0184356139691896,5.442,1,3.30404914433516,0.21,4.76190476190476,158.47044483762
7,"randoms-104","PRNG","XORShift",0.976878313345261,2.64,9,1.11190264833003e-05,0.11,0.976878313345261,2.64,9,0.495555555555556,0.00444444444444447,1.13175563344691e-104,618.004081632653,40,-0.0259287673913254,5.46,1,3.3180891006355,0.394,2.53807106598985,146.329141423669
8,"randoms-105","PRNG","XORShift",0.331407650689332,10.24,9,3.49370065636265e-05,0.104666666666667,0.331407650689332,10.24,9,0.516666666666667,0.0166666666666666,2.83037750022517e-114,668,41,-0.0263782010671043,5.65,1,3.30628088626608,0.24,4.16666666666667,147.307192751032
9,"randoms-106","PRNG","XORShift",0.146981688047643,13.36,9,9.69447678349491e-08,0.129777777777778,0.146981688047643,13.36,9,0.468444444444444,0.0315555555555556,3.27234281620319e-110,648.114285714286,41,-0.000125452118065227,5.216,1,3.30352786779326,0.13,7.69230769230769,151.50202549578
10,"randoms-107","PRNG","XORShift",0.244235669400088,11.48,9,4.28178994830804e-08,0.132888888888889,0.244235669400088,11.48,9,0.475333333333333,0.0246666666666667,1.31177924544232e-113,664.742857142857,41,-0.120754689806538,5.278,1,3.30532907667565,0.294,3.40136054421769,168.20600872875
