,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
chisqr_p,0.36297845331226714,-0.06826221814100206,0.02393614643311714,-0.2548930908074563,0.056624467961378586,-0.02302974349655175,-0.021329843948476465,-0.04678955453464459,0.11776943568164641,0.1849694742494894,-0.39623877370418464,0.2358702861569612,-0.14884810005650786,0.0906547997082199,-0.016548618812401487,-0.017068995160188696,-0.20513335092372498,0.657296286108546,-0.05684273568034117,0.15050184054386603
chisqr_X2.X-squared,-0.38364012882598686,0.15811185452649265,0.017505376780050565,-0.0788809418780719,-0.0668724488302231,0.06687587422358549,-0.1325297599877167,-0.037440610581553596,0.09196100623909524,0.01381266380755676,-0.20934260883373385,0.16995272589630578,-0.05359972422486396,-0.04123600333024611,0.2124355854320467,0.40289442613120535,-0.6740051083122958,-0.20321649048456875,-0.04561036676320228,-0.04837216563057416
chisqr_df.df,2.7755575615628914e-17,0.0,-9.71445146547012e-17,1.1102230246251565e-16,1.1102230246251565e-16,2.0816681711721685e-17,1.3877787807814457e-17,5.551115123125783e-17,-1.3877787807814457e-16,5.551115123125783e-17,-3.0531133177191805e-16,-1.1102230246251565e-16,2.3592239273284576e-16,2.688821387764051e-17,2.411265631607762e-16,-2.949029909160572e-16,-0.0841114479376664,0.08677175628907297,0.9852066054892972,-0.12150667116086937
ks_p,-0.06401398949655018,-0.22497679273899843,-0.48866767639652875,0.11506741886909073,0.0683338114618665,-0.05532600265569999,0.13331281604687406,0.25388857707143425,-0.44142646844487826,-0.13745547145675333,-0.2379437317892648,0.3944334872435891,0.4033014801507787,0.10700373551873706,0.056123080119673784,0.009530882761494844,-8.985124786031192e-17,2.5845610057796713e-17,1.4575243189959122e-17,1.800068349428367e-16
ks_D.D,0.05994006066282994,0.14463439608805126,0.5549918400046641,-0.01262770817468821,0.10401223088801531,-0.26313171905163385,-0.305879951246047,-0.06833772710787639,0.0021352651405535544,-0.2483335674582298,-0.1258612654062493,0.12270061840755295,0.5986831689885095,0.030749112216552316,-0.19255439949628875,0.002895233312137902,1.753276669603088e-17,4.065814537094082e-17,1.1229401186472416e-16,-1.4842349605383575e-16
freq_p,0.36297845331226747,-0.06826221814100204,0.023936146433116947,-0.2548930908074566,0.056624467961378724,-0.02302974349655182,-0.021329843948476413,-0.046789554534644534,0.11776943568164625,0.18496947424948953,-0.39623877370418487,0.23587028615696135,-0.14884810005650764,0.09065479970821999,-0.016548618812401307,-0.017068995160189494,0.20513335092372514,-0.6572962861085458,0.05684273568034098,-0.15050184054386603
freq_X2.X-squared,-0.3836401288259869,0.1581118545264925,0.017505376780050534,-0.0788809418780719,-0.06687244883022316,0.06687587422358562,-0.1325297599877166,-0.037440610581553534,0.09196100623909521,0.013812663807556724,-0.2093426088337338,0.16995272589630583,-0.053599724224863844,-0.04123600333024607,0.21243558543204663,0.40289442613120463,0.6740051083122963,0.2032164904845683,0.04561036676320243,0.04837216563057424
freq_df.df,0.0,-1.3877787807814457e-17,-0.0,-2.7755575615628914e-17,5.811323644522304e-17,8.326672684688674e-17,1.3877787807814457e-17,-2.7755575615628914e-17,-5.551115123125783e-17,2.7755575615628914e-17,0.0,-2.7755575615628914e-17,-5.551115123125783e-17,-1.1102230246251565e-16,-6.938893903907228e-17,-2.3418766925686896e-17,-0.01414598675587719,-0.2140092587637403,0.13691289270356802,0.9670857190723261
eqdist_empiricalMean,0.04958069240879281,-0.005590939767706746,0.019400302033465065,0.7628000352425225,-0.09249991354660082,0.31328082439319005,-0.2831033872611427,0.032906153210558946,0.09708589644509857,0.1999091532040089,-0.22384798415125876,0.11636754395370982,-0.08652234891606339,0.009219947929996464,-0.3266028758481299,0.007716876284683791,1.5923686582251558e-16,-3.1009162738213844e-17,-6.923669388202411e-17,-3.361421687105808e-17
eqdist_diff,-0.04273406769618138,0.16002238593324028,0.44378350232562397,0.1805227625469822,0.16361040940532695,-0.308049289287106,0.1762791637752055,0.3378443795152285,-0.433714101894856,0.2019859813214032,0.09891570821253028,0.26965884074394514,-0.39153588816347235,-0.02432508428332473,0.10421015547379518,0.00043263423923350724,1.1693552942893997e-16,5.02564038308077e-17,4.6312396710430495e-17,-5.692732176210201e-17
