index,sequence_label,source,generator,chisqr_p,chisqr_X2.X-squared,chisqr_df.df,ks_p,ks_D.D,freq_p,freq_X2.X-squared,freq_df.df,eqdist_empiricalMean,eqdist_diff,gap_p,gap_X2.X-squared,gap_df.df,serial_autocorrelation,perm_observed_stat,perm_p,entropy_val,fft_dominant_frequency,fft_dominant_period,fft_max_magnitude,uniformity_score,patterns_score,periodicity_score,randomness_score
1,randoms-1,QRNG,IBM Qiskit (Single-Qubit),4.52309202120639e-06,41.24,9,4.01514172449902e-05,0.104,4.52309202120639e-06,41.24,9,0.4854,0.0146,5.97398345713606e-108,634.069387755102,40,0.0623389164301799,4.854,1.0,3.27121528191636,0.096,10.4166666666667,175.438883561187,0.8182628816748017,0.8625992667715507,0.3364936256582806,0.6724519247015444
2,randoms-10,QRNG,IBM Qiskit (Single-Qubit),1.04273609815309e-05,39.24,9,0.0001988712714996,0.096,1.04273609815309e-05,39.24,9,0.505,0.005,6.61227867075976e-138,789.232653061224,43,-0.0423221417763274,5.05,1.0,3.27246199628308,0.338,2.9585798816568,181.936265616827,0.7646180248870217,0.6553281132603279,0.3441716267129975,0.588039254953449
3,randoms-100,PRNG,Linear Congruential Generator (LCG),0.989424581868437,2.12,9,9.07998595249615e-05,0.1,0.989424581868437,2.12,9,0.510222222222222,0.0102222222222222,3.3768714964436203e-161,825.6,21,-0.0650122839465384,5.592,1.0,3.31886752770939,0.5,2.0,196.0,0.29467941650048296,0.6103924703235468,0.13478260869565217,0.34661816517322724
4,randoms-101,PRNG,XORShift,0.33768835649024,10.16,9,4.20066493879215e-07,0.124,0.33768835649024,10.16,9,0.475777777777778,0.0242222222222223,4.4090933667562196e-129,746.310204081633,43,0.0597024859365902,5.282,1.0,3.30720794157676,0.054,18.5185185185185,162.277093355671,0.6965712779036968,0.8573780699011705,0.12176349881178354,0.5585709488722169
5,randoms-102,PRNG,XORShift,0.0401082797659396,17.6,9,1.24001921358892e-06,0.119555555555556,0.0401082797659396,17.6,9,0.527555555555556,0.0275555555555556,4.211259808467691e-112,657.371428571429,41,0.0137324333932998,5.748,1.0,3.29701646443168,0.338,2.9585798816568,187.311276870453,0.863322799907249,0.7663388048593529,0.228885622590894,0.6195157424524986
6,randoms-103,PRNG,XORShift,0.137282353126584,13.6,9,4.01514172449904e-05,0.104,0.137282353126584,13.6,9,0.493555555555556,0.0064444444444444,2.1256918156575e-119,693.028571428571,41,0.0184356139691896,5.442,1.0,3.30404914433516,0.21,4.76190476190476,158.47044483762,0.7087547147920005,0.7756530013698908,0.12982227228036533,0.5380766628140855
7,randoms-104,PRNG,XORShift,0.976878313345261,2.64,9,1.11190264833003e-05,0.11,0.976878313345261,2.64,9,0.495555555555556,0.0044444444444444,1.1317556334469101e-104,618.004081632653,40,-0.0259287673913254,5.46,1.0,3.3180891006355,0.394,2.53807106598985,146.329141423669,0.2757974796868368,0.6877936135805744,0.0308277168620232,0.3314729367098115
8,randoms-105,PRNG,XORShift,0.331407650689332,10.24,9,3.49370065636265e-05,0.104666666666667,0.331407650689332,10.24,9,0.516666666666667,0.0166666666666666,2.8303775002251697e-114,668.0,41,-0.0263782010671043,5.65,1.0,3.30628088626608,0.24,4.16666666666667,147.307192751032,0.6611710138846484,0.6869035534378451,0.09401402666662897,0.48069619799637414
9,randoms-106,PRNG,XORShift,0.146981688047643,13.36,9,9.69447678349491e-08,0.129777777777778,0.146981688047643,13.36,9,0.468444444444444,0.0315555555555556,3.27234281620319e-110,648.114285714286,41,-0.0001254521180652,5.216,1.0,3.30352786779326,0.13,7.69230769230769,151.50202549578,0.829046055192033,0.7388945962454895,0.11736904828443195,0.5617698999073181
10,randoms-107,PRNG,XORShift,0.244235669400088,11.48,9,4.28178994830804e-08,0.132888888888889,0.244235669400088,11.48,9,0.475333333333333,0.0246666666666667,1.3117792454423202e-113,664.742857142857,41,-0.120754689806538,5.278,1.0,3.30532907667565,0.294,3.40136054421769,168.20600872875,0.7459994867428749,0.5,0.1443680293868776,0.46345583870991747
11,randoms-108,PRNG,XORShift,0.032922821737753,18.2,9,1.11190264833003e-05,0.11,0.032922821737753,18.2,9,0.507111111111111,0.007111111111111,4.7571668232022e-124,718.738775510204,42,-0.057402561623529,5.564,1.0,3.29632260816624,0.5,2.0,134.0,0.7659432970195356,0.625462793047383,0.11657946347689685,0.5026618511812718
12,randoms-109,PRNG,XORShift,0.0395874817274512,17.64,9,4.01514172449904e-05,0.104,0.0395874817274512,17.64,9,0.489555555555556,0.0104444444444445,2.6850351504929102e-104,616.163265306122,40,-0.0704543595884778,5.406,1.0,3.2970886505226,0.412,2.42718446601942,173.394022781827,0.777809293381859,0.5996149632437457,0.19825744913221316,0.525227235252606
