"sequence_label","chirsqr_p","chisqr_X2.X-squared","chisqr_df.df","ks_p","ks_D.D","freq_p","freq_X2.X-squared","freq_df.df","eqdist_diff","eqdist_empiricalMean","gap_p","gap_X2.X-squared","gap_df.df","serial_autocorrelation","perm_observed_stat","perm_p","entropy_val","fft_dominant_frequency","fft_dominant_period","fft_max_magnitude"
"randoms-1","4.52309202120639e-06","41.24","9","4.01514172449902e-05","0.104","4.52309202120639e-06","41.24","9","0.0146","0.4854","5.97398345713606e-108","634.069387755102","40","0.0623389164301799","4.854","1","3.27121528335905","0.096","10.4166666666667","175.438883561187"
"randoms-10","1.04273609815309e-05","39.24","9","0.00019887127149966","0.096","1.04273609815309e-05","39.24","9","0.005","0.505","6.61227867075976e-138","789.232653061224","43","-0.0423221417763274","5.05","1","3.27246199772578","0.338","2.9585798816568","181.936265616827"
"randoms-2","8.29822807094323e-10","61.08","9","0.000134916725306087","0.098","8.29822807094323e-10","61.08","9","0.00479999999999997","0.4952","4.32342817034723e-146","835.175510204082","45","0.017528604579593","4.952","1","3.24729544223207","0.182","5.49450549450549","153.500962454854"
"randoms-3","1.99621131541814e-11","69.4","9","4.20066493879215e-07","0.124","1.99621131541814e-11","69.4","9","0.0378","0.4622","8.64744399097749e-148","846.526530612245","46","-0.0798718801473693","4.622","1","3.23359300941638","0.232","4.31034482758621","165.118625438271"
"randoms-4","0.000273528962543667","31.2","9","6.06219924238892e-05","0.102","0.000273528962543667","31.2","9","0.0168","0.5168","7.91997383900994e-118","691.355102040816","43","-0.0850298207001123","5.168","1","3.27942369520025","0.468","2.13675213675214","165.098372335017"
"randoms-5","0.00705749738454794","22.64","9","0.000866669529359261","0.088","0.00705749738454794","22.64","9","0.00619999999999998","0.4938","1.31384045597004e-91","550.816326530612","39","-0.00480867485908218","4.938","1","3.29066905256889","0.292","3.42465753424658","149.907271317964"
"randoms-6","6.64829843166812e-06","40.32","9","2.8652561090907e-06","0.116","6.64829843166812e-06","40.32","9","0.0104","0.5104","6.90324521358618e-115","673.983673469388","42","-0.0288426354535942","5.104","1","3.26980991296795","0.298","3.35570469798658","158.01151250807"
"randoms-7","5.3425342909417e-07","46.28","9","1.11478073853892e-06","0.12","5.3425342909417e-07","46.28","9","0.0312","0.5312","2.00974235890392e-105","621.685714285714","40","-0.0951188685170977","5.312","1","3.26099001607845","0.32","3.125","192.289055382315"
"randoms-8","5.52853105210831e-07","46.2","9","1.11190264833003e-05","0.11","5.52853105210831e-07","46.2","9","0.0196","0.4804","3.6117107206662e-137","788.734693877551","44","-0.0493172339213742","4.804","1","3.26354711931553","0.1","10","176.295885415553"
"randoms-9","0.00695642390729613","22.68","9","0.00455808440072581","0.078","0.00695642390729613","22.68","9","0.003","0.503","2.05228989181182e-116","678.457142857143","41","0.025642903879893","5.03","1","3.28993488560576","0.054","18.5185185185185","158.54489269976"
